Name,Date,Hour,StolenObject,PlaceDescription,Neighborhood,GeneralDescription,ModusOperandi
Kevin Kerr,01/31/2022,13:48:35,Bolso,En el centro de la ciudad,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Christopher Anderson,03/12/2022,01:56:19,Bicicleta,En el centro de la ciudad,La Candelaria,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Ryan Robles,06/28/2022,16:34:47,Celular,En el centro de la ciudad,San Cristobal,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Joan Henry,06/30/2022,15:06:26,Celular,En el centro de la ciudad,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Jerry Willis,02/14/2022,08:18:22,Billetera,En el centro de la ciudad,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Tony Butler,02/17/2022,02:39:42,Computador,En el centro de la ciudad,Engativá,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Susan Williamson,05/12/2022,00:48:53,Bicicleta,En el centro de la ciudad,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Billy Hall,07/15/2022,05:29:16,Vehiculo,En el centro de la ciudad,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
James Davis,07/01/2022,15:07:13,Celular,En el centro de la ciudad,Teusaquillo,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Kelly Sullivan,04/02/2022,07:06:04,Billetera,Cerca a la universidad nacional de Colombia,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Megan Fisher MD,05/12/2022,03:19:12,Bolso,Cerca a la universidad nacional de Colombia,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Traci Oliver,04/12/2022,13:39:44,Papeles,En el centro de la ciudad,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Maria Cook,05/10/2022,09:51:07,Bicicleta,Cerca a la universidad nacional de Colombia,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Joan Dunn,03/06/2022,10:12:43,Bicicleta,Cerca a la universidad nacional de Colombia,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Kimberly Allen,06/12/2022,09:43:31,Papeles,Cerca a la universidad nacional de Colombia,Engativá,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Brandon York,03/18/2022,09:46:45,Billetera,En el centro de la ciudad,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Cameron Soto,04/11/2022,10:35:04,Vehiculo,En el centro de la ciudad,San Cristobal,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Deanna Smith,01/26/2022,02:44:32,Vehiculo,Cerca a la universidad nacional de Colombia,Puente Aranda,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Suzanne Cantrell,07/31/2022,05:36:50,Bolso,En el centro de la ciudad,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Nathan Jackson Jr.,02/28/2022,18:52:56,Vehiculo,Cerca a la universidad nacional de Colombia,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Lauren Norton,07/26/2022,06:56:21,Billetera,En el centro de la ciudad,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Melissa Hobbs,06/13/2022,18:52:37,Bolso,Cerca a la universidad nacional de Colombia,Ciudad Bolivar,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Heather Murphy,03/02/2022,06:44:42,Computador,Cerca a la universidad nacional de Colombia,Chapinero,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Logan Short,05/19/2022,19:10:18,Billetera,En el centro de la ciudad,La Candelaria,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
John Vargas,01/01/2022,09:51:05,Papeles,Cerca a la universidad nacional de Colombia,Chapinero,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Regina Perez,07/20/2022,14:44:14,Computador,Cerca a la universidad nacional de Colombia,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Michelle Edwards,03/20/2022,19:59:44,Computador,En el centro de la ciudad,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Stephanie Williams,05/01/2022,22:41:09,Bolso,Cerca a la universidad nacional de Colombia,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Christine Young,07/09/2022,03:53:07,Computador,Cerca a la universidad nacional de Colombia,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Maria Dalton,07/27/2022,03:51:49,Papeles,Cerca a la universidad nacional de Colombia,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Alexander Buck,07/19/2022,11:57:49,Celular,En el centro de la ciudad,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Cameron King,04/10/2022,17:03:14,Bicicleta,En el centro de la ciudad,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Daniel Caldwell,06/13/2022,14:06:18,Bicicleta,Cerca a la universidad nacional de Colombia,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Timothy Baker,03/25/2022,15:29:49,Billetera,En el centro de la ciudad,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Jennifer Kelly,02/07/2022,01:13:23,Vehiculo,Cerca a la universidad nacional de Colombia,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
John King,03/09/2022,16:33:00,Computador,En el centro de la ciudad,Antonio Narino,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Jeffrey Frost,07/30/2022,10:42:26,Billetera,Cerca a la universidad nacional de Colombia,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Theresa Harris,07/02/2022,00:28:55,Bicicleta,En el centro de la ciudad,Puente Aranda,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Yolanda Rhodes,07/26/2022,19:36:59,Celular,En el centro de la ciudad,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Heidi Knox,05/04/2022,16:14:45,Billetera,Cerca a la universidad nacional de Colombia,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
John Moore,05/16/2022,02:01:41,Vehiculo,Cerca a la universidad nacional de Colombia,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Michelle Simpson,07/08/2022,16:48:28,Papeles,En el centro de la ciudad,Ciudad Bolivar,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Donald Rangel,02/27/2022,01:25:37,Bolso,Cerca a la universidad nacional de Colombia,Chapinero,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
John Wade,04/14/2022,19:37:40,Billetera,En el centro de la ciudad,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Brenda Koch,02/12/2022,08:14:24,Celular,Cerca a la universidad nacional de Colombia,Chapinero,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Michelle Holland,03/07/2022,07:47:16,Computador,Cerca a la universidad nacional de Colombia,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Kristine Harrison,01/09/2022,12:50:55,Celular,En el centro de la ciudad,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Richard Price,07/23/2022,06:38:50,Bolso,Cerca a la universidad nacional de Colombia,Ciudad Bolivar,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Donald Harris,07/20/2022,18:01:55,Papeles,En el centro de la ciudad,Chapinero,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Savannah Gomez,02/16/2022,08:22:33,Computador,Cerca a la universidad nacional de Colombia,La Candelaria,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Anna Castillo,07/04/2022,15:26:45,Computador,En el centro de la ciudad,Chapinero,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Joseph Burnett,04/14/2022,16:26:49,Papeles,En el centro de la ciudad,Usaquen,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Gary Perez,06/17/2022,07:04:47,Celular,Cerca a la universidad nacional de Colombia,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Jeffrey Tucker,05/11/2022,03:27:17,Vehiculo,Cerca a la universidad nacional de Colombia,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Brian Stanley,01/02/2022,23:10:06,Bicicleta,Cerca a la universidad nacional de Colombia,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Nicole Gonzalez,05/22/2022,12:33:21,Bolso,En el centro de la ciudad,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
David Peterson,06/27/2022,19:45:14,Computador,En el centro de la ciudad,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Christopher Jones,01/28/2022,21:47:46,Celular,En el centro de la ciudad,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Melissa Villegas,01/13/2022,07:35:33,Bicicleta,Cerca a la universidad nacional de Colombia,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Christina Weber,06/08/2022,15:42:10,Papeles,En el centro de la ciudad,Teusaquillo,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Gregory Conway,05/09/2022,15:08:30,Bolso,Cerca a la universidad nacional de Colombia,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Janet Cohen,02/21/2022,03:03:39,Computador,Cerca a la universidad nacional de Colombia,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Stephanie Brandt,01/17/2022,23:04:25,Computador,En el centro de la ciudad,Kennedy,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Sharon Carney,02/01/2022,07:23:30,Celular,En el centro de la ciudad,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Stephanie Prince,01/18/2022,14:45:03,Bicicleta,Cerca a la universidad nacional de Colombia,Chapinero,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Samantha Evans,02/06/2022,12:42:59,Vehiculo,Cerca a la universidad nacional de Colombia,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Franklin Chavez,05/15/2022,19:22:27,Bolso,Cerca a la universidad nacional de Colombia,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Tina Green,07/31/2022,19:17:13,Celular,Cerca a la universidad nacional de Colombia,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Colton Goodman,03/03/2022,11:36:07,Bolso,En el centro de la ciudad,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Olivia Salinas,03/29/2022,19:23:31,Computador,Cerca a la universidad nacional de Colombia,San Cristobal,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
John Durham,05/20/2022,14:37:34,Bicicleta,En el centro de la ciudad,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Hector Ryan,01/08/2022,03:40:24,Celular,Cerca a la universidad nacional de Colombia,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Ethan Hill,06/19/2022,02:32:55,Celular,Cerca a la universidad nacional de Colombia,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Brooke Wells,01/03/2022,14:55:52,Papeles,Cerca a la universidad nacional de Colombia,Barrios Unidos,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Robert Reid,07/11/2022,06:20:30,Bolso,Cerca a la universidad nacional de Colombia,La Candelaria,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Lori Anderson,04/29/2022,22:03:29,Bicicleta,En el centro de la ciudad,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Daniel Gates,06/30/2022,04:45:37,Bolso,Cerca a la universidad nacional de Colombia,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Damon Jackson,06/09/2022,22:35:32,Computador,Cerca a la universidad nacional de Colombia,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Kelly Good,07/18/2022,06:18:11,Celular,Cerca a la universidad nacional de Colombia,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Shannon Davis,05/19/2022,19:12:33,Bicicleta,En el centro de la ciudad,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Shawn Young,03/12/2022,21:45:57,Bicicleta,Cerca a la universidad nacional de Colombia,Teusaquillo,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Kristina Guerrero,06/25/2022,05:36:04,Bicicleta,Cerca a la universidad nacional de Colombia,Usme,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Megan Taylor,04/18/2022,22:38:59,Papeles,Cerca a la universidad nacional de Colombia,Engativá,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Rose Jones,05/31/2022,03:50:51,Papeles,Cerca a la universidad nacional de Colombia,Antonio Narino,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Christina Rodriguez,06/28/2022,04:05:51,Computador,En el centro de la ciudad,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Laura Long,01/22/2022,01:42:01,Bolso,En el centro de la ciudad,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
William Mason,03/17/2022,14:14:12,Celular,Cerca a la universidad nacional de Colombia,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Matthew Johnson,01/18/2022,20:17:02,Bolso,Cerca a la universidad nacional de Colombia,Antonio Narino,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Shannon Graham,07/08/2022,13:47:44,Papeles,Cerca a la universidad nacional de Colombia,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Jason Herrera,05/31/2022,22:41:13,Bicicleta,En el centro de la ciudad,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Brooke Gregory DVM,03/01/2022,11:48:28,Billetera,Cerca a la universidad nacional de Colombia,Barrios Unidos,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Jessica Wilson,05/11/2022,12:35:51,Celular,En el centro de la ciudad,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Dr. Melissa Meyer MD,06/09/2022,06:04:07,Bicicleta,En el centro de la ciudad,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Bruce Gonzalez,03/27/2022,14:28:32,Vehiculo,Cerca a la universidad nacional de Colombia,Barrios Unidos,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
William Cooper,01/09/2022,02:14:57,Bolso,En el centro de la ciudad,Usaquen,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Natalie Medina,02/03/2022,09:41:28,Papeles,Cerca a la universidad nacional de Colombia,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Robert Shepherd,05/04/2022,11:47:04,Bicicleta,Cerca a la universidad nacional de Colombia,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Amanda Miller,07/30/2022,20:05:06,Celular,En el centro de la ciudad,La Candelaria,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Christina Fernandez,07/20/2022,02:44:17,Celular,Cerca a la universidad nacional de Colombia,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Gina Jones,07/06/2022,08:09:23,Billetera,En el centro de la ciudad,Usme,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
William Randolph,02/28/2022,18:50:46,Computador,En el centro de la ciudad,Antonio Narino,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
David Powell,08/03/2022,07:51:15,Bolso,Cerca a la universidad nacional de Colombia,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Benjamin Chandler,04/13/2022,05:03:10,Bicicleta,En el centro de la ciudad,Kennedy,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Susan Moss,05/30/2022,10:42:02,Bicicleta,Cerca a la universidad nacional de Colombia,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Glenn Robinson,03/01/2022,00:05:30,Bicicleta,Cerca a la universidad nacional de Colombia,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Virginia Ortiz,02/18/2022,00:04:03,Bolso,Cerca a la universidad nacional de Colombia,Tunjuelito,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Susan Reyes,02/06/2022,00:42:13,Vehiculo,Cerca a la universidad nacional de Colombia,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Kenneth Mendez,01/30/2022,18:45:07,Papeles,En el centro de la ciudad,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Kent Cohen,04/07/2022,01:07:17,Celular,Cerca a la universidad nacional de Colombia,Engativá,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Stephanie Lopez,03/20/2022,02:24:46,Vehiculo,En el centro de la ciudad,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Anthony Santana,08/03/2022,10:54:41,Papeles,En el centro de la ciudad,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Patrick Hall,04/13/2022,16:41:19,Papeles,Cerca a la universidad nacional de Colombia,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Shelly Cannon,04/20/2022,17:03:07,Billetera,Cerca a la universidad nacional de Colombia,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Juan Stewart,04/06/2022,05:26:33,Billetera,Cerca a la universidad nacional de Colombia,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Corey Miller,01/13/2022,09:46:20,Celular,En el centro de la ciudad,Barrios Unidos,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Melanie Montoya,06/16/2022,11:56:48,Computador,En el centro de la ciudad,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Bryan Molina,02/25/2022,02:33:14,Vehiculo,Cerca a la universidad nacional de Colombia,Antonio Narino,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Karen Montgomery,07/11/2022,17:36:58,Bolso,En el centro de la ciudad,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Johnny Schroeder,07/27/2022,01:02:05,Computador,En el centro de la ciudad,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Marcus Armstrong,04/30/2022,01:15:25,Vehiculo,Cerca a la universidad nacional de Colombia,Usme,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Juan Wilson,01/07/2022,12:21:01,Bicicleta,Cerca a la universidad nacional de Colombia,Rafael Uribe Uribe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Megan Brandt,04/25/2022,03:01:24,Vehiculo,Cerca a la universidad nacional de Colombia,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Henry Miller,06/02/2022,16:26:42,Vehiculo,En el centro de la ciudad,Rafael Uribe Uribe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Lisa Duncan,06/06/2022,13:49:57,Bolso,En el centro de la ciudad,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Amanda Martin,02/09/2022,16:42:59,Bolso,Cerca a la universidad nacional de Colombia,Puente Aranda,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
April Stewart,06/20/2022,21:54:02,Vehiculo,En el centro de la ciudad,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Paul Krause,05/25/2022,02:37:53,Papeles,Cerca a la universidad nacional de Colombia,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Samantha Case,06/30/2022,11:53:40,Bicicleta,En el centro de la ciudad,Sabta Fe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Alyssa Hunter,04/03/2022,23:18:36,Billetera,Cerca a la universidad nacional de Colombia,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Marissa Fox,02/17/2022,11:25:48,Celular,Cerca a la universidad nacional de Colombia,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Gina Sanchez,05/14/2022,04:38:14,Billetera,Cerca a la universidad nacional de Colombia,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
John Peterson,04/15/2022,21:29:47,Celular,Cerca a la universidad nacional de Colombia,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Marcus Krueger,05/06/2022,01:17:40,Billetera,En el centro de la ciudad,La Candelaria,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Kelly Pitts,01/29/2022,04:48:54,Papeles,En el centro de la ciudad,Engativá,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
John Hall,05/15/2022,11:27:52,Billetera,En el centro de la ciudad,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Paul Phillips,04/10/2022,10:35:31,Vehiculo,En el centro de la ciudad,Usaquen,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Lauren Burns,07/22/2022,07:04:45,Vehiculo,Cerca a la universidad nacional de Colombia,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Bobby Webb,01/11/2022,06:04:06,Papeles,En el centro de la ciudad,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Christy Lowe,03/20/2022,10:40:18,Billetera,Cerca a la universidad nacional de Colombia,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Tina Hines,03/07/2022,02:15:27,Bicicleta,En el centro de la ciudad,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Donald Figueroa,01/10/2022,20:32:33,Celular,Cerca a la universidad nacional de Colombia,Usme,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Timothy Scott,05/26/2022,01:09:45,Celular,Cerca a la universidad nacional de Colombia,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Richard Stephens,02/03/2022,17:11:26,Papeles,Cerca a la universidad nacional de Colombia,Usme,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Melissa King,07/03/2022,12:19:12,Bicicleta,En el centro de la ciudad,Chapinero,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Lonnie Stein,04/21/2022,09:45:57,Vehiculo,En el centro de la ciudad,San Cristobal,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Jacqueline Peters,05/27/2022,11:50:23,Bolso,Cerca a la universidad nacional de Colombia,Usme,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Nancy Rodriguez,08/01/2022,02:22:42,Vehiculo,Cerca a la universidad nacional de Colombia,Tunjuelito,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Christopher Becker,03/29/2022,14:46:28,Vehiculo,Cerca a la universidad nacional de Colombia,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Terri Le,07/28/2022,02:49:06,Celular,En el centro de la ciudad,Engativá,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Stephanie Myers,04/29/2022,04:29:51,Papeles,Cerca a la universidad nacional de Colombia,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Thomas Clark,05/05/2022,12:47:20,Vehiculo,En el centro de la ciudad,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Martin Lopez,07/21/2022,12:52:32,Bicicleta,Cerca a la universidad nacional de Colombia,Puente Aranda,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Felicia Heath,07/24/2022,19:49:24,Vehiculo,Cerca a la universidad nacional de Colombia,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Stephen Mooney,04/14/2022,08:17:01,Bicicleta,En el centro de la ciudad,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Sarah Quinn,01/08/2022,14:35:51,Bolso,En el centro de la ciudad,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Lee Wade,06/26/2022,07:04:54,Vehiculo,En el centro de la ciudad,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Jennifer Lang,05/21/2022,07:36:12,Vehiculo,En el centro de la ciudad,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Patrick Douglas,07/31/2022,11:26:44,Vehiculo,En el centro de la ciudad,Sabta Fe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Brian Brown,04/30/2022,11:20:30,Bolso,En el centro de la ciudad,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Terry Spencer,02/08/2022,22:58:08,Bolso,En el centro de la ciudad,Barrios Unidos,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Nancy Jefferson,03/10/2022,11:27:56,Computador,Cerca a la universidad nacional de Colombia,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Angel Gonzalez,04/10/2022,13:06:14,Papeles,Cerca a la universidad nacional de Colombia,Teusaquillo,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Ashley Turner,01/20/2022,17:05:01,Bicicleta,En el centro de la ciudad,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Mr. Thomas Case MD,01/01/2022,14:49:15,Vehiculo,Cerca a la universidad nacional de Colombia,La Candelaria,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
David Rodriguez,06/16/2022,04:47:46,Papeles,En el centro de la ciudad,Engativá,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Russell Jones,07/25/2022,06:18:36,Billetera,Cerca a la universidad nacional de Colombia,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
